,Date,Open,High,Low,Close,Volume,Name
,12/7/2007,25.86,26.11,25.5,25.63,11445821,AABA
,12/10/2007,25.51,25.57,24.92,25.2,26083319,AABA
,12/11/2007,25.15,25.65,24.36,24.47,28579063,AABA
,12/12/2007,24.82,25,24.11,24.54,20244566,AABA
,12/13/2007,24.39,24.75,24.19,24.38,23798399,AABA
,12/14/2007,24.13,24.47,24,24.06,15125452,AABA
,12/17/2007,23.8,24.03,22.94,23.04,37877082,AABA
,12/18/2007,23.22,23.35,22.8,23.02,27737563,AABA
,12/19/2007,22.92,23.69,22.92,23.31,26547229,AABA
,12/20/2007,23.5,23.8,23.24,23.64,21039176,AABA
,12/21/2007,23.88,24.1,23.74,24.01,24194742,AABA
,12/24/2007,24.01,24.19,23.94,24.05,24861780,AABA
,12/26/2007,23.85,24.25,23.85,23.96,9821600,AABA
,12/27/2007,23.6,24.15,23.57,23.71,16041411,AABA
,12/28/2007,23.66,23.71,23.21,23.45,13772823,AABA
,12/31/2007,23.22,23.43,23.11,23.26,14782802,AABA
,1/2/2008,23.8,24.15,23.6,23.72,25679638,AABA
,1/3/2008,23.86,24.19,23.7,23.84,20180678,AABA
,1/4/2008,23.81,23.81,23.1,23.16,20746520,AABA
,1/7/2008,23.12,23.56,22.73,23.18,24776652,AABA
,1/8/2008,23.28,23.65,22.5,22.61,22979375,AABA
,1/9/2008,22.47,22.8,21.37,22.56,46671231,AABA
,1/10/2008,23.19,24.57,22.83,24.09,52347817,AABA
,1/11/2008,23.81,24.13,22.98,23.36,27300582,AABA
,1/14/2008,23.51,23.76,23.18,23.7,18554527,AABA
,1/15/2008,23,23.48,22.57,22.91,31922960,AABA
,1/16/2008,22.2,22.75,21.73,21.95,38159071,AABA
,1/17/2008,22,22.17,21.14,21.22,28819471,AABA
,1/18/2008,21.27,21.61,20.07,20.78,41239551,AABA
,1/22/2008,19.29,21.03,19.26,19.92,38151676,AABA
,1/23/2008,19.25,20.34,18.72,20.01,42066717,AABA
,1/24/2008,20.44,21.75,20.42,21.69,39823218,AABA
,1/25/2008,22.24,22.37,21.32,21.94,28386702,AABA
,1/28/2008,21.56,21.9,20.42,20.78,32473101,AABA
,1/29/2008,20.87,20.9,20.05,20.81,79229992,AABA
,1/30/2008,18.62,20.81,18.58,19.05,115993273,AABA
,1/31/2008,18.87,19.35,18.72,19.18,41449771,AABA
,2/1/2008,28.68,29.83,27.34,28.38,438231658,AABA
,2/4/2008,28.33,29.5,28.33,29.33,144813955,AABA
,2/5/2008,28.78,29.57,28.75,28.98,68583658,AABA
,2/6/2008,29.11,29.33,28.53,28.57,55648731,AABA
,2/7/2008,28.63,29.19,28.6,29.04,44254807,AABA
,2/8/2008,28.98,29.22,28.71,29.2,55614205,AABA
,2/11/2008,29.89,30.05,29.32,29.87,67253668,AABA
,2/12/2008,29.81,29.84,29.4,29.57,42445525,AABA
,2/13/2008,29.78,30.07,29.6,29.88,57047609,AABA
,2/14/2008,29.98,30.25,29.75,29.98,38052504,AABA
,2/15/2008,29.94,30.15,29.43,29.66,40121528,AABA
,2/19/2008,29.34,29.42,28.75,29.01,38682922,AABA
,2/20/2008,28.71,29.04,28.39,28.83,29338735,AABA
,2/21/2008,28.76,29.17,28.25,28.42,34681815,AABA
,2/22/2008,28.36,28.64,27.98,28.42,26165022,AABA
,2/25/2008,28.42,28.57,27.75,28.13,32474283,AABA
,2/26/2008,27.93,28.55,27.81,28.22,26013635,AABA
,2/27/2008,28.33,28.49,27.75,28.37,27664192,AABA
,2/28/2008,27.98,28.82,27.96,28.15,30114941,AABA
